sample1	sample2	N_informative_sites	discordance	log_p	N_fit_iteration	N_generation	N_state_transition	seq_shared_best_traj	fract_sites_IBD
sid1	sid2	94	0.9362	-1.62847e+02	4	0.113	0	0.00000	0.00000
sid1	sid3	84	0.8333	-1.70179e+02	5	0.904	0	0.17253	0.17722
sid1	sid4	85	0.8353	-1.80946e+02	5	4.120	0	0.00000	0.01208
sid1	sid5	113	0.9735	-1.63864e+02	4	0.072	0	0.00000	0.00000
sid1	sid6	94	0.8617	-1.68492e+02	5	0.159	0	0.00000	0.00000
sid1	sid7	107	0.9159	-1.67766e+02	4	0.108	0	0.00000	0.00000
sid1	sid8	42	0.0000	-1.02414e+02	3	0.033	0	1.00000	1.00000
sid1	sid9	103	0.9126	-1.64228e+02	4	0.129	0	0.00000	0.00000
sid1	sid10	88	0.8409	-1.80503e+02	5	3.811	0	0.00000	0.00841
sid1	sid11	104	0.9135	-1.66514e+02	4	0.122	0	0.00000	0.00000
sid1	sid12	104	0.9135	-1.66514e+02	4	0.122	0	0.00000	0.00000
sid1	sid13	104	0.8942	-1.70376e+02	4	0.326	0	0.00000	0.00000
sid1	sid14	108	0.9167	-1.72488e+02	4	0.078	0	0.00000	0.00000
sid1	sid15	107	0.9159	-1.70356e+02	4	0.082	0	0.00000	0.00000
sid1	sid16	107	0.9159	-1.71924e+02	4	0.153	0	0.00000	0.00000
sid1	sid17	63	0.6667	-1.61578e+02	4	1.252	1	0.41346	0.45502
sid1	sid18	97	0.8969	-1.80708e+02	4	0.437	0	0.00000	0.00000
sid1	sid19	97	0.8660	-1.70045e+02	4	0.189	0	0.00000	0.00000
sid1	sid20	41	0.0000	-1.02195e+02	3	0.034	0	1.00000	1.00000
sid1	sid21	63	0.6667	-1.55081e+02	3	0.873	1	0.41346	0.47500
sid1	sid22	63	0.6667	-1.56151e+02	3	0.861	1	0.41346	0.47454
sid1	sid23	91	0.8901	-1.65284e+02	5	1.099	0	0.00000	0.00074
sid1	sid24	42	0.0714	-1.27245e+02	5	9.496	1	1.00000	0.96983
sid1	sid25	107	0.8972	-1.80128e+02	4	0.250	0	0.00000	0.00000
sid1	sid26	40	0.0000	-1.03516e+02	4	0.011	0	1.00000	1.00000
sid1	sid27	103	0.9126	-1.64882e+02	4	0.129	0	0.00000	0.00000
sid1	sid28	63	0.6508	-1.78552e+02	5	2.670	5	0.39202	0.40593
sid1	sid29	65	0.6615	-1.79314e+02	5	2.455	4	0.44149	0.39526
sid1	sid30	87	0.7931	-1.91422e+02	5	2.418	0	0.00000	0.00023
sid1	sid31	103	0.9223	-1.67371e+02	4	0.038	0	0.00000	0.00000
