sample1	sample2	N_informative_sites	discordance	log_p	N_fit_iteration	N_generation	N_state_transition	seq_shared_best_traj	fract_sites_IBD
sid1	sid2	94	0.9362	-1.62847e+02	4	0.154	0	0.00000	0.00000
sid1	sid3	84	0.8333	-1.70053e+02	4	0.505	0	0.18003	0.18548
sid1	sid4	85	0.8353	-1.80738e+02	5	2.488	0	0.00000	0.00692
sid1	sid5	113	0.9735	-1.63864e+02	4	0.040	0	0.00000	0.00000
sid1	sid6	94	0.8617	-1.68501e+02	5	0.670	0	0.00000	0.00006
sid1	sid7	107	0.9159	-1.67766e+02	4	0.248	0	0.00000	0.00000
sid1	sid8	42	0.0000	-1.02414e+02	4	0.033	0	1.00000	1.00000
sid1	sid9	103	0.9126	-1.64228e+02	4	0.159	0	0.00000	0.00000
sid1	sid10	88	0.8409	-1.80152e+02	5	1.837	0	0.00000	0.00086
sid1	sid11	104	0.9135	-1.66514e+02	4	0.154	0	0.00000	0.00000
sid1	sid12	104	0.9135	-1.66514e+02	4	0.154	0	0.00000	0.00000
sid1	sid13	104	0.8942	-1.70376e+02	4	0.088	0	0.00000	0.00000
sid1	sid14	108	0.9167	-1.72489e+02	4	0.294	0	0.00000	0.00000
sid1	sid15	107	0.9159	-1.70357e+02	4	0.313	0	0.00000	0.00000
sid1	sid16	107	0.9159	-1.71926e+02	4	0.398	0	0.00000	0.00001
sid1	sid17	63	0.6667	-1.64947e+02	4	1.051	0	0.55766	0.42504
sid1	sid18	97	0.8969	-1.80709e+02	4	0.585	0	0.00000	0.00001
sid1	sid19	97	0.8660	-1.70049e+02	5	0.424	0	0.00000	0.00002
sid1	sid20	41	0.0000	-1.02195e+02	4	0.033	0	1.00000	1.00000
sid1	sid21	63	0.6667	-1.57953e+02	3	0.825	0	0.55766	0.45336
sid1	sid22	63	0.6667	-1.59070e+02	3	0.825	0	0.55766	0.45319
sid1	sid23	91	0.8901	-1.65263e+02	5	0.648	0	0.00000	0.00017
sid1	sid24	42	0.0714	-1.26301e+02	5	2.737	0	1.00000	0.98655
sid1	sid25	107	0.8972	-1.80128e+02	4	0.061	0	0.00000	0.00000
sid1	sid26	40	0.0000	-1.03516e+02	4	0.035	0	1.00000	1.00000
sid1	sid27	103	0.9126	-1.64882e+02	4	0.157	0	0.00000	0.00000
sid1	sid28	63	0.6508	-1.75980e+02	4	1.321	2	0.39778	0.34227
sid1	sid29	65	0.6615	-1.77133e+02	4	1.307	2	0.39778	0.33552
sid1	sid30	87	0.7931	-1.93820e+02	5	3.724	0	0.00000	0.05438
sid1	sid31	103	0.9223	-1.67371e+02	4	0.029	0	0.00000	0.00000
sid1	sid32	75	0.6133	-2.07000e+02	5	2.345	4	0.21990	0.28304
sid1	sid33	41	0.0000	-1.02191e+02	4	0.034	0	1.00000	1.00000
sid1	sid34	40	0.0000	-1.00756e+02	4	0.033	0	1.00000	1.00000
sid1	sid35	101	0.9010	-1.79946e+02	4	0.203	0	0.00000	0.00000
sid1	sid36	86	0.8721	-1.69606e+02	5	0.618	0	0.00000	0.00016
sid1	sid37	104	0.9135	-1.71963e+02	4	0.428	0	0.00000	0.00001
sid1	sid38	103	0.9126	-1.67154e+02	4	0.163	0	0.00000	0.00000
sid1	sid39	103	0.9126	-1.66083e+02	4	0.157	0	0.00000	0.00000
sid1	sid40	87	0.7816	-1.89355e+02	5	0.892	0	0.00000	0.00006
sid1	sid41	91	0.8681	-1.71509e+02	5	0.546	0	0.00000	0.00010
sid1	sid42	87	0.7816	-1.89923e+02	5	0.888	0	0.00000	0.00006
sid1	sid43	86	0.8488	-1.73061e+02	5	0.782	0	0.00000	0.00014
sid1	sid44	108	0.9167	-1.72527e+02	4	0.312	0	0.00000	0.00000
sid1	sid45	42	0.0238	-1.08802e+02	4	0.049	0	1.00000	1.00000
sid1	sid46	110	0.9727	-1.64621e+02	4	0.051	0	0.00000	0.00000
sid1	sid47	105	0.9238	-1.69255e+02	4	0.021	0	0.00000	0.00000
sid1	sid48	84	0.8095	-1.76223e+02	5	1.371	0	0.00000	0.05989
sid1	sid49	92	0.8152	-1.79632e+02	5	0.382	0	0.00000	0.00409
sid1	sid50	83	0.9157	-1.54931e+02	4	0.440	0	0.00000	0.00000
sid1	sid51	83	0.9157	-1.55978e+02	4	0.433	0	0.00000	0.00000
sid1	sid52	99	0.8485	-1.79594e+02	4	0.083	0	0.00000	0.00000
sid1	sid53	103	0.8155	-1.85443e+02	4	0.054	0	0.00000	0.00000
sid1	sid54	78	0.7051	-1.95957e+02	5	1.884	3	0.10533	0.18965
sid1	sid55	82	0.9146	-1.55396e+02	4	0.500	0	0.00000	0.00001
sid1	sid56	105	0.8286	-1.85372e+02	4	0.068	0	0.00000	0.00000
sid1	sid57	82	0.9146	-1.64577e+02	5	0.076	0	0.00000	0.00000
sid1	sid58	58	0.5000	-1.66700e+02	3	1.019	1	0.47870	0.44588
sid1	sid59	83	0.9157	-1.55978e+02	4	0.433	0	0.00000	0.00000
sid1	sid60	81	0.9136	-1.55877e+02	4	0.446	0	0.00000	0.00000
sid1	sid61	81	0.9136	-1.70409e+02	5	0.727	0	0.00000	0.00004
sid1	sid62	83	0.9157	-1.55978e+02	4	0.433	0	0.00000	0.00000
sid1	sid63	67	0.6269	-1.70595e+02	5	0.925	1	0.36901	0.35178
sid1	sid64	82	0.9146	-1.55877e+02	4	0.446	0	0.00000	0.00000
sid1	sid65	83	0.9157	-1.54931e+02	4	0.440	0	0.00000	0.00000
sid1	sid66	62	0.6935	-1.52545e+02	5	0.097	0	0.47874	0.31923
sid1	sid67	83	0.9157	-1.54931e+02	4	0.440	0	0.00000	0.00000
sid1	sid68	76	0.7895	-1.77245e+02	5	1.063	1	0.09032	0.08150
sid1	sid69	79	0.7975	-1.67340e+02	5	2.495	0	0.00000	0.00804
sid1	sid70	58	0.6552	-1.76244e+02	5	2.623	2	0.23112	0.21670
sid1	sid71	59	0.5424	-1.63231e+02	5	0.825	0	0.54949	0.43197
sid1	sid72	83	0.9157	-1.54931e+02	4	0.440	0	0.00000	0.00000
sid1	sid73	61	0.6885	-1.52595e+02	5	0.097	0	0.47874	0.31923
sid1	sid74	64	0.6875	-1.62492e+02	3	1.079	2	0.34596	0.37797
sid1	sid75	91	0.8681	-1.78067e+02	5	1.644	0	0.00000	0.00961
sid1	sid76	41	0.0000	-1.02018e+02	4	0.033	0	1.00000	1.00000
sid1	sid77	87	0.8621	-1.80149e+02	4	0.752	0	0.00000	0.00001
sid1	sid78	91	0.8571	-1.71171e+02	5	0.298	0	0.00000	0.00003
sid1	sid79	87	0.8621	-1.71698e+02	5	0.147	0	0.00000	0.00000
sid1	sid80	89	0.9326	-1.65087e+02	4	0.436	0	0.00000	0.00000
sid1	sid81	42	0.0000	-1.01419e+02	4	0.032	0	1.00000	1.00000
sid1	sid82	42	0.0000	-1.01419e+02	4	0.032	0	1.00000	1.00000
sid1	sid83	91	0.8681	-1.68517e+02	5	0.274	0	0.00000	0.00003
sid1	sid84	42	0.0000	-1.01419e+02	4	0.032	0	1.00000	1.00000
