sample1	sample2	N_informative_sites	discordance	log_p	N_fit_iteration	N_generation	N_state_transition	seq_shared_best_traj	fract_sites_IBD
sid1	sid2	94	0.9362	-2.22458e+02	5	0.060	0	0.00000	0.00000
sid1	sid3	84	0.8333	-2.06840e+02	5	0.320	1	0.15674	0.18796
sid1	sid4	85	0.8353	-2.26277e+02	5	1.514	0	0.00000	0.00224
sid1	sid5	113	0.9735	-2.38724e+02	5	0.006	0	0.00000	0.00000
sid1	sid6	94	0.8617	-2.23251e+02	5	0.127	0	0.00000	0.00000
sid1	sid7	107	0.9159	-2.32921e+02	5	0.124	0	0.00000	0.00000
sid1	sid8	42	0.0000	-9.96416e+01	5	0.022	0	1.00000	1.00000
sid1	sid9	103	0.9126	-2.26612e+02	5	0.153	0	0.00000	0.00000
sid1	sid10	88	0.8409	-2.30842e+02	5	1.483	0	0.00000	0.00209
sid1	sid11	104	0.9135	-2.30977e+02	5	0.137	0	0.00000	0.00000
sid1	sid12	104	0.9135	-2.30977e+02	5	0.137	0	0.00000	0.00000
sid1	sid13	104	0.8942	-2.29987e+02	5	0.066	0	0.00000	0.00000
sid1	sid14	108	0.9167	-2.39030e+02	5	0.025	0	0.00000	0.00000
sid1	sid15	107	0.9159	-2.36205e+02	5	0.032	0	0.00000	0.00000
sid1	sid16	107	0.9159	-2.36387e+02	5	0.030	0	0.00000	0.00000
sid1	sid17	63	0.6667	-1.91177e+02	4	1.036	3	0.55578	0.44742
sid1	sid18	97	0.8969	-2.39635e+02	5	0.327	0	0.00000	0.00007
sid1	sid19	97	0.8660	-2.26190e+02	5	0.124	0	0.00000	0.00000
sid1	sid20	41	0.0000	-9.87290e+01	5	0.021	0	1.00000	1.00000
sid1	sid21	63	0.6667	-1.84822e+02	5	0.838	3	0.55578	0.46506
sid1	sid22	63	0.6667	-1.84524e+02	5	0.833	3	0.55578	0.46471
sid1	sid23	91	0.8901	-2.17234e+02	5	0.357	0	0.00000	0.00001
sid1	sid24	42	0.0714	-1.13703e+02	5	3.497	0	1.00000	0.95247
sid1	sid25	107	0.8972	-2.42512e+02	5	0.017	0	0.00000	0.00000
sid1	sid26	40	0.0000	-9.58917e+01	5	0.024	0	1.00000	1.00000
sid1	sid27	103	0.9126	-2.27958e+02	5	0.151	0	0.00000	0.00000
sid1	sid28	63	0.6508	-2.03455e+02	5	1.232	1	0.43582	0.35547
sid1	sid29	65	0.6615	-2.10808e+02	5	1.216	1	0.43582	0.36089
sid1	sid30	87	0.7931	-2.35124e+02	5	1.827	0	0.00000	0.00044
sid1	sid31	103	0.9223	-2.26288e+02	5	0.013	0	0.00000	0.00000
sid1	sid32	75	0.6133	-2.36723e+02	5	1.290	0	0.05131	0.20207
sid1	sid33	41	0.0000	-9.80323e+01	5	0.022	0	1.00000	1.00000
sid1	sid34	40	0.0000	-9.79838e+01	5	0.022	0	1.00000	1.00000
sid1	sid35	101	0.9010	-2.39557e+02	5	0.068	0	0.00000	0.00000
sid1	sid36	86	0.8721	-2.16034e+02	5	0.452	0	0.00000	0.00002
sid1	sid37	104	0.9135	-2.31572e+02	5	0.113	0	0.00000	0.00000
sid1	sid38	103	0.9126	-2.29537e+02	5	0.159	0	0.00000	0.00000
sid1	sid39	103	0.9126	-2.27773e+02	5	0.150	0	0.00000	0.00000
sid1	sid40	87	0.7816	-2.35342e+02	5	2.427	0	0.00000	0.01533
sid1	sid41	91	0.8681	-2.24871e+02	5	0.273	0	0.00000	0.00000
sid1	sid42	87	0.7816	-2.35217e+02	5	2.427	0	0.00000	0.01533
sid1	sid43	86	0.8488	-2.16742e+02	5	0.704	0	0.00000	0.00022
sid1	sid44	108	0.9167	-2.39761e+02	5	0.032	0	0.00000	0.00000
sid1	sid45	42	0.0238	-1.04646e+02	5	0.152	0	1.00000	0.99999
sid1	sid46	110	0.9727	-2.33242e+02	5	0.015	0	0.00000	0.00000
sid1	sid47	105	0.9238	-2.33718e+02	5	0.023	0	0.00000	0.00000
sid1	sid48	84	0.8095	-2.19685e+02	5	1.443	0	0.00000	0.04393
sid1	sid49	92	0.8152	-2.30144e+02	5	1.398	0	0.00000	0.03792
sid1	sid50	83	0.9157	-2.07057e+02	5	0.840	0	0.00000	0.00185
sid1	sid51	83	0.9157	-2.06707e+02	5	0.837	0	0.00000	0.00169
sid1	sid52	99	0.8485	-2.24649e+02	5	0.124	0	0.00000	0.00000
sid1	sid53	103	0.8155	-2.39509e+02	5	0.029	0	0.00000	0.00000
sid1	sid54	78	0.7051	-2.36368e+02	5	2.116	0	0.00000	0.10093
sid1	sid55	82	0.9146	-2.05459e+02	5	0.895	0	0.00000	0.00210
sid1	sid56	105	0.8286	-2.44289e+02	5	0.031	0	0.00000	0.00000
sid1	sid57	82	0.9146	-2.14495e+02	5	0.512	0	0.00000	0.00007
sid1	sid58	58	0.5000	-1.90192e+02	5	1.805	8	0.65255	0.56427
sid1	sid59	83	0.9157	-2.06707e+02	5	0.837	0	0.00000	0.00169
sid1	sid60	81	0.9136	-2.03834e+02	5	0.838	0	0.00000	0.00169
sid1	sid61	81	0.9136	-1.96050e+02	5	0.077	0	0.00000	0.00000
sid1	sid62	83	0.9157	-2.06707e+02	5	0.837	0	0.00000	0.00169
sid1	sid63	67	0.6269	-1.98478e+02	5	0.715	0	0.28343	0.30357
sid1	sid64	82	0.9146	-2.05221e+02	5	0.838	0	0.00000	0.00169
sid1	sid65	83	0.9157	-2.07057e+02	5	0.840	0	0.00000	0.00185
sid1	sid66	62	0.6935	-1.83273e+02	5	0.211	0	0.45206	0.32383
sid1	sid67	83	0.9157	-2.07057e+02	5	0.840	0	0.00000	0.00185
sid1	sid68	76	0.7895	-2.24317e+02	5	2.048	2	0.03687	0.14504
sid1	sid69	79	0.7975	-2.13372e+02	5	2.924	0	0.00000	0.06584
sid1	sid70	58	0.6552	-1.95480e+02	5	2.003	1	0.14321	0.23477
sid1	sid71	59	0.5424	-1.91023e+02	5	1.459	1	0.59751	0.48383
sid1	sid72	83	0.9157	-2.07057e+02	5	0.840	0	0.00000	0.00185
sid1	sid73	61	0.6885	-1.81314e+02	5	0.215	0	0.45206	0.32378
sid1	sid74	64	0.6875	-1.90595e+02	5	0.553	1	0.27681	0.37563
sid1	sid75	91	0.8681	-2.29003e+02	5	0.106	0	0.00000	0.00000
sid1	sid76	41	0.0000	-9.85524e+01	5	0.022	0	1.00000	1.00000
sid1	sid77	87	0.8621	-2.29371e+02	5	0.724	0	0.00000	0.00006
sid1	sid78	91	0.8571	-2.18335e+02	5	0.818	0	0.00000	0.00028
sid1	sid79	87	0.8621	-2.18837e+02	5	0.787	0	0.00000	0.00002
sid1	sid80	89	0.9326	-2.21926e+02	5	0.457	0	0.00000	0.00001
sid1	sid81	42	0.0000	-1.00033e+02	5	0.021	0	1.00000	1.00000
sid1	sid82	42	0.0000	-1.00033e+02	5	0.021	0	1.00000	1.00000
sid1	sid83	91	0.8681	-2.21240e+02	5	0.931	0	0.00000	0.00041
sid1	sid84	42	0.0000	-1.00033e+02	5	0.021	0	1.00000	1.00000
sid1	sid85	81	0.9012	-2.09944e+02	5	0.923	0	0.00000	0.00096
sid1	sid86	101	0.9208	-2.22196e+02	5	0.118	0	0.00000	0.00000
sid1	sid87	98	0.8776	-2.39669e+02	5	0.181	0	0.00000	0.00001
sid1	sid88	88	0.8409	-2.30842e+02	5	1.483	0	0.00000	0.00209
sid1	sid89	103	0.9126	-2.28113e+02	5	0.153	0	0.00000	0.00000
sid1	sid90	110	0.9727	-2.34545e+02	5	0.014	0	0.00000	0.00000
sid1	sid91	107	0.9720	-2.26107e+02	5	0.018	0	0.00000	0.00000
sid1	sid92	112	0.9732	-2.37024e+02	5	0.013	0	0.00000	0.00000
sid1	sid93	93	0.8602	-2.29643e+02	5	0.098	0	0.00000	0.00000
sid1	sid94	98	0.8980	-2.24742e+02	5	0.207	0	0.00000	0.00000
sid1	sid95	122	0.8279	-2.87031e+02	5	0.011	0	0.00000	0.00000
sid1	sid96	112	0.9732	-2.37237e+02	5	0.014	0	0.00000	0.00000
sid1	sid97	85	0.8471	-2.26800e+02	5	1.295	0	0.00000	0.00853
sid1	sid98	84	0.8333	-2.17224e+02	5	1.097	0	0.00000	0.00033
sid1	sid99	102	0.9118	-2.42275e+02	5	0.005	0	0.00000	0.00000
sid1	sid100	84	0.7738	-2.15781e+02	5	2.213	0	0.00000	0.01218
sid1	sid101	78	0.7692	-2.20138e+02	5	1.928	0	0.00000	0.10114
sid1	sid102	107	0.9720	-2.24477e+02	5	0.047	0	0.00000	0.00000
sid1	sid103	104	0.8942	-2.31321e+02	5	0.057	0	0.00000	0.00000
