Pairwise 95% CIs

gst = Nei & Chesser, 1983
Gst = Hedrick, 2005
GGst = Meirmans & Hedrick, (2011)
D = Jost, 2008
Fst = Weir & Cockerham, 1984

gst

populations	actual	lower	upper
pop1,  vs  pop2,	0.0019	-0.0009	0.0053
pop1,  vs  pop3,	0.0341	 0.0286	0.0404
pop1,  vs  pop4,	0.0296	 0.0248	0.0346
pop1,  vs  pop5,	0.0447	 0.0386	0.0518
pop1,  vs  pop6,	0.0293	 0.0247	0.0347
pop2,  vs  pop3,	0.0287	 0.0238	0.0346
pop2,  vs  pop4,	0.0252	 0.0213	0.0297
pop2,  vs  pop5,	0.0394	 0.0340	0.0458
pop2,  vs  pop6,	0.0264	 0.0221	0.0317
pop3,  vs  pop4,	0.0032	 0.0000	0.0069
pop3,  vs  pop5,	0.0287	 0.0239	0.0350
pop3,  vs  pop6,	0.0126	 0.0090	0.0168
pop4,  vs  pop5,	0.0242	 0.0197	0.0293
pop4,  vs  pop6,	0.0116	 0.0081	0.0160
pop5,  vs  pop6,	0.0218	 0.0169	0.0272

Gst

populations	actual	lower	upper
pop1,  vs  pop2,	0.0122	-0.0052	0.0327
pop1,  vs  pop3,	0.2266	 0.1953	0.2605
pop1,  vs  pop4,	0.1992	 0.1709	0.2279
pop1,  vs  pop5,	0.2962	 0.2647	0.3305
pop1,  vs  pop6,	0.2039	 0.1760	0.2339
pop2,  vs  pop3,	0.1954	 0.1648	0.2291
pop2,  vs  pop4,	0.1737	 0.1494	0.2007
pop2,  vs  pop5,	0.2673	 0.2358	0.3031
pop2,  vs  pop6,	0.1883	 0.1612	0.2171
pop3,  vs  pop4,	0.0226	 0.0012	0.0466
pop3,  vs  pop5,	0.1974	 0.1681	0.2325
pop3,  vs  pop6,	0.0915	 0.0679	0.1190
pop4,  vs  pop5,	0.1692	 0.1414	0.1988
pop4,  vs  pop6,	0.0850	 0.0615	0.1142
pop5,  vs  pop6,	0.1572	 0.1278	0.1879

GGst

populations	actual	lower	upper
pop1,  vs  pop2,	0.0141	-0.0076	0.0356
pop1,  vs  pop3,	0.2521	 0.1932	0.2636
pop1,  vs  pop4,	0.2222	 0.1684	0.2299
pop1,  vs  pop5,	0.3263	 0.2624	0.3327
pop1,  vs  pop6,	0.2265	 0.1737	0.2362
pop2,  vs  pop3,	0.2179	 0.1624	0.2317
pop2,  vs  pop4,	0.1940	 0.1472	0.2034
pop2,  vs  pop5,	0.2950	 0.2335	0.3053
pop2,  vs  pop6,	0.2092	 0.1589	0.2199
pop3,  vs  pop4,	0.0257	-0.0016	0.0497
pop3,  vs  pop5,	0.2198	 0.1656	0.2361
pop3,  vs  pop6,	0.1028	 0.0652	0.1220
pop4,  vs  pop5,	0.1889	 0.1389	0.2014
pop4,  vs  pop6,	0.0954	 0.0590	0.1170
pop5,  vs  pop6,	0.1751	 0.1248	0.1910

D

populations	actual	lower	upper
pop1,  vs  pop2,	0.0027	-0.0122	0.0198
pop1,  vs  pop3,	0.1802	 0.1510	0.2101
pop1,  vs  pop4,	0.1484	 0.1203	0.1764
pop1,  vs  pop5,	0.2527	 0.2227	0.2842
pop1,  vs  pop6,	0.1494	 0.1218	0.1826
pop2,  vs  pop3,	0.1579	 0.1284	0.1917
pop2,  vs  pop4,	0.1327	 0.1093	0.1593
pop2,  vs  pop5,	0.2262	 0.1974	0.2592
pop2,  vs  pop6,	0.1561	 0.1287	0.1862
pop3,  vs  pop4,	0.0102	-0.0068	0.0292
pop3,  vs  pop5,	0.1514	 0.1239	0.1855
pop3,  vs  pop6,	0.0663	 0.0453	0.0902
pop4,  vs  pop5,	0.1272	 0.0993	0.1549
pop4,  vs  pop6,	0.0586	 0.0368	0.0846
pop5,  vs  pop6,	0.1199	 0.0906	0.1505

Fst

populations	actual	lower	upper
pop1,  vs  pop2,	0.0028	-0.0028	0.0096
pop1,  vs  pop3,	0.0654	 0.0550	0.0768
pop1,  vs  pop4,	0.0568	 0.0479	0.0661
pop1,  vs  pop5,	0.0851	 0.0739	0.0978
pop1,  vs  pop6,	0.0565	 0.0478	0.0665
pop2,  vs  pop3,	0.0549	 0.0457	0.0658
pop2,  vs  pop4,	0.0483	 0.0410	0.0569
pop2,  vs  pop5,	0.0750	 0.0652	0.0868
pop2,  vs  pop6,	0.0507	 0.0427	0.0608
pop3,  vs  pop4,	0.0058	-0.0004	0.0130
pop3,  vs  pop5,	0.0552	 0.0461	0.0668
pop3,  vs  pop6,	0.0245	 0.0174	0.0325
pop4,  vs  pop5,	0.0468	 0.0382	0.0563
pop4,  vs  pop6,	0.0224	 0.0156	0.0310
pop5,  vs  pop6,	0.0422	 0.0330	0.0526
