sample1	sample2	N_informative_sites	discordance	log_p	N_fit_iteration	N_generation	N_state_transition	seq_shared_best_traj	fract_sites_IBD
sid1	sid8	42	0.0000	-9.91495e+01	5	0.003	0	1.00000	1.00000
sid1	sid20	41	0.0000	-9.82389e+01	5	0.003	0	1.00000	1.00000
sid1	sid24	42	0.0714	-1.13302e+02	5	5.000	5	0.99370	0.95777
sid1	sid26	40	0.0000	-9.54136e+01	5	0.004	0	1.00000	1.00000
sid1	sid33	41	0.0000	-9.75442e+01	5	0.003	0	1.00000	1.00000
sid1	sid34	40	0.0000	-9.74917e+01	5	0.003	0	1.00000	1.00000
sid1	sid45	42	0.0238	-1.06750e+02	5	5.000	2	0.99841	0.98286
sid1	sid58	58	0.5000	-1.78813e+02	5	2.892	10	0.64837	0.62537
sid1	sid76	41	0.0000	-9.80623e+01	5	0.003	0	1.00000	1.00000
sid1	sid81	42	0.0000	-9.95368e+01	5	0.003	0	1.00000	1.00000
sid1	sid82	42	0.0000	-9.95368e+01	5	0.003	0	1.00000	1.00000
sid1	sid84	42	0.0000	-9.95368e+01	5	0.003	0	1.00000	1.00000
sid1	sid109	41	0.0000	-9.83489e+01	5	0.003	0	1.00000	1.00000
sid1	sid138	41	0.0000	-9.69977e+01	5	0.003	0	1.00000	1.00000
sid1	sid148	40	0.0000	-9.76057e+01	5	0.003	0	1.00000	1.00000
sid1	sid161	41	0.0000	-9.85233e+01	5	0.003	0	1.00000	1.00000
sid1	sid163	41	0.0000	-9.80601e+01	5	0.003	0	1.00000	1.00000
sid1	sid164	42	0.0000	-9.95368e+01	5	0.003	0	1.00000	1.00000
sid1	sid179	41	0.0000	-9.81244e+01	5	0.003	0	1.00000	1.00000
sid1	sid181	41	0.0000	-9.83553e+01	5	0.003	0	1.00000	1.00000
sid1	sid209	41	0.0000	-9.81244e+01	5	0.003	0	1.00000	1.00000
sid1	sid212	42	0.0000	-9.95368e+01	5	0.003	0	1.00000	1.00000
sid1	sid213	41	0.0000	-9.82303e+01	5	0.003	0	1.00000	1.00000
sid1	sid214	42	0.0000	-9.95368e+01	5	0.003	0	1.00000	1.00000
sid1	sid215	42	0.0000	-9.95368e+01	5	0.003	0	1.00000	1.00000
sid1	sid229	42	0.0000	-9.95368e+01	5	0.003	0	1.00000	1.00000
sid1	sid230	41	0.0000	-9.85047e+01	5	0.003	0	1.00000	1.00000
sid1	sid257	64	0.4688	-2.00391e+02	5	4.398	10	0.60921	0.57389
sid1	sid275	42	0.0000	-9.95368e+01	5	0.003	0	1.00000	1.00000
sid2	sid192	74	0.4595	-1.92586e+02	5	1.431	5	0.69890	0.68529
sid2	sid196	58	0.0000	-1.23564e+02	5	0.001	0	1.00000	1.00000
sid2	sid197	58	0.0000	-1.23564e+02	5	0.001	0	1.00000	1.00000
sid2	sid205	54	0.0000	-1.15227e+02	5	0.002	0	1.00000	1.00000
