sample1	sample2	N_informative_sites	discordance	log_p	N_fit_iteration	N_generation	N_state_transition	seq_shared_best_traj	fract_sites_IBD
sid1	sid2	94	0.9362	-2.22459e+02	5	0.073	0	0.00000	0.00001
sid1	sid3	84	0.8333	-2.10169e+02	5	0.827	0	0.17253	0.17874
sid1	sid4	85	0.8353	-2.27096e+02	5	3.457	0	0.00000	0.01966
sid1	sid5	113	0.9735	-2.38724e+02	5	0.039	0	0.00000	0.00000
sid1	sid6	94	0.8617	-2.23251e+02	5	0.177	0	0.00000	0.00000
sid1	sid7	107	0.9159	-2.32921e+02	5	0.066	0	0.00000	0.00000
sid1	sid8	42	0.0000	-9.96416e+01	5	0.003	0	1.00000	1.00000
sid1	sid9	103	0.9126	-2.26612e+02	5	0.083	0	0.00000	0.00000
sid1	sid10	88	0.8409	-2.31419e+02	5	3.220	0	0.00000	0.01443
sid1	sid11	104	0.9135	-2.30977e+02	5	0.076	0	0.00000	0.00000
sid1	sid12	104	0.9135	-2.30977e+02	5	0.076	0	0.00000	0.00000
sid1	sid13	104	0.8942	-2.29987e+02	5	0.259	0	0.00000	0.00000
sid1	sid14	108	0.9167	-2.39030e+02	5	0.043	0	0.00000	0.00000
sid1	sid15	107	0.9159	-2.36205e+02	5	0.046	0	0.00000	0.00000
sid1	sid16	107	0.9159	-2.36387e+02	5	0.100	0	0.00000	0.00000
sid1	sid17	63	0.6667	-1.90407e+02	5	1.258	1	0.41346	0.45066
sid1	sid18	97	0.8969	-2.39627e+02	5	0.364	0	0.00000	0.00001
sid1	sid19	97	0.8660	-2.26190e+02	5	0.136	0	0.00000	0.00000
sid1	sid20	41	0.0000	-9.87290e+01	5	0.003	0	1.00000	1.00000
sid1	sid21	63	0.6667	-1.83255e+02	5	0.744	1	0.41346	0.47186
sid1	sid22	63	0.6667	-1.82926e+02	5	0.730	1	0.41346	0.47129
sid1	sid23	91	0.8901	-2.17291e+02	5	0.946	0	0.00000	0.00114
sid1	sid24	42	0.0714	-1.12804e+02	5	7.069	1	1.00000	0.96620
sid1	sid25	107	0.8972	-2.42512e+02	5	0.199	0	0.00000	0.00000
sid1	sid26	40	0.0000	-9.58917e+01	5	0.004	0	1.00000	1.00000
sid1	sid27	103	0.9126	-2.27958e+02	5	0.083	0	0.00000	0.00000
sid1	sid28	63	0.6508	-2.01368e+02	5	2.294	5	0.39202	0.41484
sid1	sid29	65	0.6615	-2.08155e+02	5	2.101	6	0.43324	0.40335
sid1	sid30	87	0.7931	-2.35146e+02	5	2.324	0	0.00000	0.00099
sid1	sid31	103	0.9223	-2.26288e+02	5	0.018	0	0.00000	0.00000
sid1	sid32	75	0.6133	-2.31404e+02	5	3.595	12	0.49098	0.48992
sid1	sid33	41	0.0000	-9.80323e+01	5	0.003	0	1.00000	1.00000
sid1	sid34	40	0.0000	-9.79838e+01	5	0.003	0	1.00000	1.00000
sid1	sid35	101	0.9010	-2.39557e+02	5	0.234	0	0.00000	0.00000
sid1	sid36	86	0.8721	-2.16203e+02	5	1.452	0	0.00000	0.00386
sid1	sid37	104	0.9135	-2.31572e+02	5	0.102	0	0.00000	0.00000
sid1	sid38	103	0.9126	-2.29537e+02	5	0.139	0	0.00000	0.00000
sid1	sid39	103	0.9126	-2.27773e+02	5	0.082	0	0.00000	0.00000
sid1	sid40	87	0.7816	-2.36542e+02	5	4.561	0	0.00000	0.04145
sid1	sid41	91	0.8681	-2.25010e+02	5	1.396	0	0.00000	0.00310
sid1	sid42	87	0.7816	-2.36404e+02	5	4.562	0	0.00000	0.04119
sid1	sid43	86	0.8488	-2.16725e+02	5	1.094	0	0.00000	0.00010
sid1	sid44	108	0.9167	-2.39761e+02	5	0.046	0	0.00000	0.00000
sid1	sid45	42	0.0238	-1.04644e+02	5	0.123	0	1.00000	1.00000
sid1	sid46	110	0.9727	-2.33242e+02	5	0.045	0	0.00000	0.00000
sid1	sid47	105	0.9238	-2.33718e+02	5	0.021	0	0.00000	0.00000
sid1	sid48	84	0.8095	-2.19605e+02	5	1.066	1	0.03389	0.07115
sid1	sid49	92	0.8152	-2.30241e+02	5	1.510	0	0.00000	0.04778
sid1	sid50	83	0.9157	-2.08123e+02	5	1.830	0	0.00000	0.03619
sid1	sid51	83	0.9157	-2.07759e+02	5	1.818	0	0.00000	0.03555
sid1	sid52	99	0.8485	-2.24649e+02	5	0.023	0	0.00000	0.00000
sid1	sid53	103	0.8155	-2.39509e+02	5	0.030	0	0.00000	0.00000
sid1	sid54	78	0.7051	-2.38850e+02	5	3.705	6	0.22924	0.30953
sid1	sid55	82	0.9146	-2.06502e+02	5	1.839	0	0.00000	0.03601
