Locus Pairwise estimates

gst = Nei & Chesser, 1983
Gst = Hedrick, 2005
GGst = Meirmans & Hedrick, (2011)
D = Jost, 2008
Fst = Weir & Cockerham, 1984

gst

Loci	pop1,  vs  pop2,	pop1,  vs  pop3,	pop1,  vs  pop4,	pop1,  vs  pop5,	pop1,  vs  pop6,	pop2,  vs  pop3,	pop2,  vs  pop4,	pop2,  vs  pop5,	pop2,  vs  pop6,	pop3,  vs  pop4,	pop3,  vs  pop5,	pop3,  vs  pop6,	pop4,  vs  pop5,	pop4,  vs  pop6,	pop5,  vs  pop6,
Locus1	0.0016	-0.0032	0.006	0.0283	0.0177	0.0068	0.0153	0.049	0.0425	0.0057	0.0219	0.0107	0.0038	0.0049	-0.0015
Locus2	-0.0013	-0.0044	-0.0044	-0.0037	-0.0027	-0.0048	-0.0015	0.0034	0.0059	-0.0048	-0.0024	-7e-04	-0.0044	-0.0034	-0.006
Locus3	0.0084	0.0667	0.0635	0.046	0.0369	0.0768	0.0781	0.0578	0.0424	0.0088	0.028	0.0126	0.028	0.0123	0.0106
Locus4	-0.0011	0.0532	0.0081	0.0277	0.0036	0.0402	0.0043	0.0148	-0.0041	0.0206	0.069	0.0287	0.0161	-7e-04	0.0097
Locus5	-0.0012	0.0153	0.0183	0.0192	0.0073	0.018	0.0176	0.0213	0.0121	0.0038	0.0079	0.0109	0.0048	0.0102	0.0075
Locus6	7e-04	0.0306	0.0261	0.0179	0.0119	0.0184	0.0147	0.018	0.0155	0.0042	0.0259	0.0231	0.0161	0.0127	0.0122
Locus7	0.0113	0.0273	0.008	0.0181	0.0446	0.0028	-0.0039	0.0104	0.0292	0.0021	0.0081	0.0139	0.0043	0.0203	0.001
Locus8	-0.0052	0.0023	0.0047	0.0809	0.0016	0.0033	0.007	0.0834	0.0024	-0.0033	0.101	0.0015	0.0844	-0.0012	0.0567
Locus9	0.002	0.0075	0.0123	0.0159	0.0116	0.0057	0.0146	0.0087	0.0075	0.0034	0.0097	0.0074	0.0169	0.0122	0.0094
Locus10	0.0087	0.0659	0.0327	0.0744	0.073	0.0251	0.0096	0.0394	0.0349	0.011	0.0244	0.0061	0.0207	0.0116	0.0096
Locus11	0.0012	0.004	0.0034	0.0171	0.0051	-1e-04	0.0039	0.0197	4e-04	-0.0027	0.0054	-0.0014	0.0087	-4e-04	0.0213
Locus12	-4e-04	0.0223	0.0215	0.0267	0.0163	0.0187	0.0169	0.0274	0.0135	0.0024	0.0335	0.0306	0.0356	0.0304	0.0219
Locus13	-0.0037	0.1459	0.1433	0.131	0.1378	0.1208	0.1181	0.1067	0.1149	-0.0027	0.0391	0.0018	0.0456	0.0124	0.0316
Locus14	2e-04	0.0199	0.0169	0.0346	0.0202	0.0136	0.0123	0.037	0.0196	-1e-04	0.0184	0.003	0.0218	0.0029	0.0142
Locus15	0.0012	-0.0012	0.0222	0.0809	0.0355	-0.005	0.0104	0.0815	0.0097	0.016	0.0917	0.0182	0.0397	0.007	0.0842
Locus16	0.0085	0.081	0.0836	0.1141	0.0674	0.0608	0.0558	0.0635	0.0427	0.0038	0.0772	0.0253	0.0539	0.0153	0.0304
Locus17	-0.0019	0.0054	0.0045	0.0141	0.0435	0.0084	0.0028	0.0171	0.0537	0.0015	0.0084	0.014	0.0085	0.0406	0.0399
Locus18	-0.0014	0.0199	0.0112	0.0213	0.0042	0.0181	0.0089	0.02	0.0038	0.0022	0.0381	0.0155	0.0227	0.007	0.0114
Locus19	1e-04	0.0159	0.0151	0.0254	0.0154	0.0308	0.0288	0.0327	0.0241	0.0012	0.0214	0.0148	0.0205	0.019	0.0084
Locus20	-8e-04	0.0271	0.0248	0.0339	0.0216	0.023	0.0226	0.0283	0.0221	-7e-04	0.0098	0.0071	0.0085	0.0072	0.0215
Locus21	0.0031	0.0135	0.007	0.0309	0.0433	0.0326	0.0108	0.0213	0.0379	0.0064	0.0275	0.0287	0.0113	0.0313	0.0129
Locus22	-0.0019	0.0072	0.0102	0.041	0.013	0.0109	0.0136	0.0341	0.0115	9e-04	0.026	0.0026	0.0321	0.005	0.0145
Locus23	0.001	0.0671	0.0894	0.0962	0.0965	0.0378	0.0562	0.0868	0.066	0.007	0.0733	0.0086	0.1059	0.0352	0.0482
Locus24	-5e-04	0.0749	0.0602	0.0895	0.0231	0.0616	0.0446	0.0672	0.0139	0.0029	0.0022	0.0142	0.0012	0.0072	0.0202
Locus25	0.0017	0.0654	0.0857	0.1313	0.0378	0.0354	0.0456	0.0911	0.0119	0.0052	0.0157	0.0159	0.0244	0.0123	0.0423
Locus26	0.003	0.0442	0.0218	0.0038	0.085	0.0365	0.0177	0.0135	0.0937	-0.0015	0.0185	0.014	0.0047	0.0241	0.0402
Locus27	4e-04	0.0294	0.0242	0.0313	0.0239	0.0198	0.017	0.0244	0.0197	-1e-04	0.0144	0.0095	0.0162	0.0052	0.0185
Locus28	0.0057	0.0801	0.0249	0.1042	-0.003	0.0297	-9e-04	0.0463	-0.0033	0.0093	-0.0048	0.0518	0.0208	0.0088	0.0723
Locus29	0.0029	0.0226	0.0085	0.0186	0.0112	0.0361	0.0151	0.0089	0.0184	0.006	0.038	0.0137	0.0161	1e-04	0.0148
Locus30	-0.0013	0.0372	0.0267	0.0415	0.0235	0.0249	0.0166	0.0366	0.0201	-2e-04	0.0247	0.0117	0.018	0.0111	0.025
Locus31	0.0048	0.0197	0.0133	0.0396	0.0283	0.0141	0.0094	0.0408	0.0229	-0.0011	0.0261	0.0107	0.0253	0.0161	0.0221
Locus32	0.0041	0.0089	0.0062	0.0253	0.0091	0.012	0.0119	0.0262	0.0145	0.0015	0.0262	0.0112	0.0256	0.0109	0.0245
Locus33	0.0044	0.0084	0.0061	0.0237	0.0027	0.0189	0.0161	0.0147	0.0162	0.0049	0.0331	0.0098	0.0349	0.006	0.0321
Locus34	-0.0025	0.0773	0.0717	0.0853	0.051	0.0948	0.0902	0.1078	0.0689	-0.0033	0.0479	0.0047	0.0371	0.0068	0.0264
Locus35	0.0068	0.0168	0.0089	0.0423	0.0076	9e-04	0.0076	0.0674	0.0042	0.0024	0.0481	0.0046	0.0289	-0.0011	0.0398
Locus36	0.0096	0.0352	0.0254	0.03	0.0096	0.0417	0.0307	0.0401	0.0285	-0.0014	0.0329	0.0053	0.0287	0.0043	0.0145
Locus37	-0.0018	0.0345	0.078	0.0378	0.0618	0.02	0.0591	0.0172	0.0363	0.006	0.0011	0.0049	0.0203	0.0148	-0.0031

Gst

Loci	pop1,  vs  pop2,	pop1,  vs  pop3,	pop1,  vs  pop4,	pop1,  vs  pop5,	pop1,  vs  pop6,	pop2,  vs  pop3,	pop2,  vs  pop4,	pop2,  vs  pop5,	pop2,  vs  pop6,	pop3,  vs  pop4,	pop3,  vs  pop5,	pop3,  vs  pop6,	pop4,  vs  pop5,	pop4,  vs  pop6,	pop5,  vs  pop6,
Locus1	0.0082	-0.0174	0.0298	0.1355	0.0865	0.0374	0.0766	0.2341	0.2073	0.0309	0.1142	0.0567	0.0181	0.0235	-0.0068
Locus2	-0.0041	-0.0139	-0.0138	-0.0116	-0.0084	-0.0145	-0.0045	0.0101	0.0176	-0.0145	-0.0072	-0.0022	-0.013	-0.01	-0.0176
Locus3	0.0844	0.692	0.7116	0.6475	0.4994	0.7057	0.7693	0.6965	0.4943	0.0893	0.3489	0.1518	0.3819	0.1609	0.1811
Locus4	-0.0064	0.2927	0.0432	0.122	0.0197	0.2373	0.0246	0.069	-0.024	0.1149	0.3165	0.1657	0.072	-0.0037	0.0444
Locus5	-0.0346	0.3178	0.424	0.3959	0.2125	0.3765	0.4121	0.441	0.3555	0.0663	0.127	0.2278	0.0846	0.2366	0.1553
Locus6	0.0074	0.2914	0.2395	0.1908	0.1341	0.1626	0.126	0.1772	0.1613	0.0331	0.2359	0.2222	0.1422	0.1179	0.1318
Locus7	0.0365	0.1015	0.0268	0.072	0.1959	0.0115	-0.0143	0.0465	0.145	0.0092	0.0432	0.0834	0.0201	0.1055	0.0064
Locus8	-0.0084	0.0033	0.0071	0.1689	0.0026	0.0048	0.0106	0.1751	0.004	-0.0045	0.1902	0.0022	0.1622	-0.0018	0.1194
Locus9	0.0841	0.298	0.4412	0.4783	0.4907	0.2248	0.5134	0.2574	0.3105	0.1116	0.2728	0.2872	0.4399	0.4237	0.2757
Locus10	0.0635	0.5949	0.2786	0.6905	0.695	0.3707	0.1301	0.6073	0.5598	0.2197	0.5926	0.1566	0.4391	0.2591	0.2668
Locus11	0.0117	0.0354	0.0272	0.1427	0.04	-0.0013	0.0324	0.1692	0.003	-0.0211	0.044	-0.0109	0.0635	-0.0024	0.1533
Locus12	-0.0101	0.4688	0.4622	0.5609	0.3968	0.4337	0.4014	0.635	0.368	0.0475	0.6423	0.6729	0.6959	0.6833	0.48
Locus13	-0.0192	0.7942	0.7748	0.8335	0.7835	0.7365	0.7145	0.7715	0.7339	-0.0171	0.2975	0.0118	0.3437	0.0825	0.2539
Locus14	0.0028	0.3079	0.3005	0.4541	0.3025	0.2026	0.2093	0.4685	0.2815	-0.0019	0.2273	0.0423	0.301	0.0465	0.1708
Locus15	0.0046	-0.0045	0.0784	0.1892	0.1374	-0.0217	0.0421	0.2123	0.0431	0.0656	0.2422	0.0826	0.0991	0.0295	0.2269
Locus16	0.0631	0.7972	0.7625	0.745	0.6546	0.7324	0.615	0.4777	0.5061	0.0634	0.7744	0.4689	0.5007	0.2501	0.3006
Locus17	-0.0089	0.0245	0.0241	0.0704	0.142	0.0406	0.0161	0.0922	0.1857	0.008	0.0422	0.0461	0.0518	0.1542	0.1429
Locus18	-0.0531	0.499	0.3667	0.4869	0.1683	0.4906	0.3255	0.4922	0.1718	0.0526	0.6894	0.4321	0.4991	0.2614	0.285
Locus19	0.0019	0.4111	0.3472	0.5661	0.4374	0.6361	0.5428	0.5997	0.5386	0.0268	0.4704	0.4114	0.4082	0.4674	0.1999
Locus20	-0.0179	0.5746	0.55	0.7083	0.4156	0.5129	0.5288	0.6222	0.4478	-0.0154	0.2158	0.1423	0.1964	0.1511	0.4288
Locus21	0.013	0.055	0.0306	0.1711	0.2453	0.1485	0.0528	0.1346	0.2451	0.03	0.1659	0.1773	0.0741	0.2107	0.122
Locus22	-0.0298	0.1073	0.1407	0.5387	0.2003	0.188	0.2124	0.5058	0.2037	0.0135	0.3755	0.0449	0.4264	0.0784	0.2145
Locus23	0.0055	0.3991	0.4154	0.6591	0.6478	0.2491	0.285	0.6679	0.4967	0.0368	0.5896	0.0675	0.6298	0.2055	0.4521
Locus24	-0.0056	0.5551	0.5059	0.6422	0.237	0.4734	0.3907	0.5003	0.1505	0.0171	0.0114	0.0977	0.007	0.056	0.1353
Locus25	0.0051	0.2638	0.3313	0.562	0.1335	0.1689	0.2076	0.464	0.0488	0.0363	0.1291	0.098	0.1873	0.0715	0.2822
Locus26	0.0082	0.1396	0.07	0.0135	0.2945	0.1022	0.0504	0.0426	0.2866	-0.0049	0.0681	0.05	0.0177	0.0875	0.164
Locus27	0.0042	0.2912	0.2766	0.3514	0.2577	0.1896	0.1873	0.2636	0.2042	-7e-04	0.1325	0.084	0.1702	0.0526	0.1839
Locus28	0.0161	0.2178	0.0712	0.2747	-0.0083	0.0853	-0.0028	0.1288	-0.0098	0.0268	-0.0128	0.1461	0.058	0.0262	0.1972
