loci	gst	Gst	GGst	D	Fis	Fst	Fit
MAL01-145461	 0.0565	 0.0723	 0.0895	 0.0168	1	 0.0578	1
MAL01-167547	 0.0540	 0.0783	 0.0946	 0.0257	1	 0.0553	1
MAL01-389906	 0.0232	 0.0392	 0.0465	 0.0163	1	 0.0206	1
MAL02-131505	 0.0881	 0.1559	 0.1800	 0.0744	1	 0.1050	1
MAL02-194835	 0.1367	 0.2650	 0.2971	 0.1486	1	 0.1786	1
MAL02-255652	 0.1327	 0.2206	 0.2536	 0.1014	1	 0.2015	1
MAL02-290673	 0.2545	 0.4275	 0.4723	 0.2321	1	 0.2978	1
MAL02-294544	 0.0546	 0.0857	 0.1020	 0.0328	1	 0.0536	1
MAL02-297021	 0.2407	 0.4128	 0.4564	 0.2267	1	 0.2830	1
MAL02-322398	 0.1930	 0.3365	 0.3766	 0.1778	1	 0.2213	1
MAL02-417203	 0.0608	 0.0943	 0.1123	 0.0357	1	 0.0716	1
MAL02-510210	 0.1596	 0.2564	 0.2939	 0.1152	1	 0.2369	1
MAL02-514461	 0.0682	 0.1419	 0.1609	 0.0791	1	 0.1128	1
MAL02-569613	 0.0265	 0.0374	 0.0459	 0.0112	1	 0.0364	1
MAL02-608790	 0.0760	 0.1589	 0.1797	 0.0897	1	 0.1279	1
MAL02-660994	 0.2341	 0.3837	 0.4284	 0.1954	1	 0.3011	1
MAL02-680916	 0.0936	 0.1214	 0.1480	 0.0307	1	 0.1253	1
MAL02-723983	 0.1327	 0.2090	 0.2425	 0.0879	1	 0.1554	1
MAL02-792270	 0.0955	 0.1666	 0.1923	 0.0786	1	 0.1323	1
MAL03-139623	 0.0252	 0.0288	 0.0369	 0.0037	1	 0.0291	1
MAL03-192822	 0.0658	 0.1416	 0.1601	 0.0811	1	 0.0952	1
MAL03-355045	 0.0359	 0.0575	 0.0686	 0.0224	1	 0.0508	1
MAL03-666808	 0.0317	 0.0416	 0.0517	 0.0102	1	 0.0577	1
MAL03-714600	 0.3581	 0.4659	 0.5229	 0.1679	1	 0.4136	1
MAL03-849722	 0.0362	 0.0385	 0.0500	 0.0024	1	 0.0545	1
MAL04-134941	 0.3712	 0.5455	 0.5956	 0.2772	1	 0.4525	1
MAL04-163143	 0.0130	 0.0139	 0.0181	 0.0009	1	 0.0112	1
MAL04-193196	 0.0971	 0.1156	 0.1433	 0.0204	1	 0.1437	1
MAL04-273727	 0.0496	 0.1060	 0.1206	 0.0593	1	 0.0483	1
MAL04-282592	 0.0120	 0.0130	 0.0169	 0.0009	1	 0.0103	1
MAL04-307321	 0.0085	 0.0090	 0.0118	 0.0005	1	 0.0074	1
MAL04-342497	 0.0808	 0.1555	 0.1777	 0.0813	1	 0.0919	1
MAL04-361423	 0.0482	 0.1030	 0.1172	 0.0576	1	 0.0526	1
MAL04-422595	 0.0341	 0.0766	 0.0870	 0.0440	1	 0.0363	1
MAL04-441887	 0.0336	 0.0360	 0.0467	 0.0025	1	 0.0458	1
MAL04-469608	 0.0495	 0.0561	 0.0715	 0.0070	1	 0.0522	1
MAL04-515294	 0.1550	 0.2851	 0.3203	 0.1540	1	 0.1786	1
MAL04-544408	-0.0017	-0.0028	-0.0034	-0.0011	1	-0.0087	1
MAL04-637111	 0.1816	 0.3426	 0.3801	 0.1966	1	 0.1739	1
MAL04-666150	 0.1019	 0.1696	 0.1969	 0.0754	1	 0.1266	1
MAL04-680633	 0.2083	 0.3834	 0.4234	 0.2212	1	 0.2480	1
MAL04-702725	 0.2806	 0.4097	 0.4602	 0.1795	1	 0.2887	1
MAL04-755220	 0.6140	 0.7780	 0.8157	 0.4248	1	 0.6996	1
MAL04-772972	 0.1583	 0.3111	 0.3456	 0.1815	1	 0.1977	1
MAL04-799238	 0.1746	 0.3279	 0.3649	 0.1857	1	 0.1775	1
MAL04-809686	 0.3611	 0.4517	 0.5107	 0.1418	1	 0.4324	1
MAL04-846290	 0.0411	 0.0459	 0.0588	 0.0050	1	 0.0421	1
MAL04-872322	 0.1496	 0.2683	 0.3030	 0.1396	1	 0.2205	1
MAL04-894155	 0.0289	 0.0307	 0.0400	 0.0019	1	 0.0363	1
MAL04-895873	 0.0259	 0.0428	 0.0510	 0.0174	1	 0.0255	1
MAL04-915180	 0.0157	 0.0176	 0.0227	 0.0018	1	 0.0158	1
MAL04-934434	 0.1405	 0.2606	 0.2937	 0.1397	1	 0.1471	1
MAL04-936350	 0.1642	 0.3069	 0.3428	 0.1706	1	 0.2120	1
MAL04-991586	 0.1451	 0.2821	 0.3153	 0.1603	1	 0.1573	1
MAL04-994352	 0.0576	 0.1170	 0.1337	 0.0631	1	 0.0490	1
MAL05-132132	 0.1520	 0.2976	 0.3315	 0.1717	1	 0.1850	1
MAL05-144161	 0.0891	 0.1279	 0.1530	 0.0426	1	 0.1129	1
MAL05-192222	 0.3581	 0.5528	 0.6005	 0.3033	1	 0.3953	1
MAL05-329493	 0.0194	 0.0326	 0.0388	 0.0134	1	 0.0224	1
MAL05-364227	 0.0772	 0.1151	 0.1373	 0.0410	1	 0.0949	1
MAL05-369684	 0.1682	 0.2550	 0.2945	 0.1044	1	 0.2594	1
MAL05-383150	 0.0131	 0.0180	 0.0223	 0.0050	1	 0.0108	1
MAL05-396039	 0.2689	 0.4045	 0.4535	 0.1855	1	 0.3288	1
MAL05-426361	 0.1185	 0.1820	 0.2131	 0.0720	1	 0.1680	1
MAL05-475275	 0.2664	 0.4724	 0.5154	 0.2808	1	 0.3064	1
MAL05-622362	 0.3081	 0.5223	 0.5668	 0.3096	1	 0.3493	1
MAL05-668859	 0.2487	 0.3893	 0.4360	 0.1872	1	 0.3336	1
MAL05-680743	 0.0952	 0.1427	 0.1691	 0.0524	1	 0.1215	1
MAL05-734299	 0.0615	 0.0735	 0.0921	 0.0127	1	 0.0839	1
MAL05-796712	 0.1197	 0.1908	 0.2219	 0.0808	1	 0.1383	1
MAL05-798464	 0.0702	 0.1104	 0.1308	 0.0433	1	 0.0772	1
MAL05-831868	 0.0982	 0.1917	 0.2173	 0.1036	1	 0.1279	1
MAL05-855820	 0.2274	 0.3964	 0.4389	 0.2187	1	 0.3455	1
MAL05-908821	 0.1331	 0.2595	 0.2909	 0.1458	1	 0.2076	1
MAL05-931601	 0.1172	 0.2164	 0.2458	 0.1124	1	 0.1737	1
MAL05-1043649	 0.2760	 0.4594	 0.5050	 0.2534	1	 0.3076	1
MAL05-1188652	 0.1058	 0.1786	 0.2066	 0.0814	1	 0.1195	1
MAL05-1217046	 0.2486	 0.4472	 0.4895	 0.2644	1	 0.2975	1
