Locus 95% CIs

gst = Nei & Chesser, 1983
Gst = Hedrick, 2005
GGst = Meirmans & Hedrick, (2011)
D = Jost, 2008
Fst = Weir & Cockerham, 1984
Fis = Weir & Cockerham, 1984
Fit = Weir & Cockerham, 1984


gst

locus	actual	lower	upper
Locus1	 0.0233	 0.0036	0.0482
Locus2	-0.0039	-0.0154	0.0140
Locus3	 0.0630	 0.0491	0.0781
Locus4	 0.0322	 0.0122	0.0581
Locus5	 0.0191	 0.0109	0.0287
Locus6	 0.0274	 0.0157	0.0416
Locus7	 0.0221	 0.0057	0.0428
Locus8	 0.0632	 0.0176	0.1245
Locus9	 0.0160	 0.0102	0.0229
Locus10	 0.0483	 0.0342	0.0639
Locus11	 0.0096	-0.0005	0.0216
Locus12	 0.0349	 0.0255	0.0460
Locus13	 0.1247	 0.1015	0.1487
Locus14	 0.0258	 0.0147	0.0392
Locus15	 0.0483	 0.0231	0.0772
Locus16	 0.0841	 0.0662	0.1034
Locus17	 0.0269	 0.0115	0.0461
Locus18	 0.0223	 0.0135	0.0340
Locus19	 0.0301	 0.0205	0.0421
Locus20	 0.0283	 0.0191	0.0387
Locus21	 0.0357	 0.0161	0.0620
Locus22	 0.0244	 0.0148	0.0354
Locus23	 0.0956	 0.0668	0.1244
Locus24	 0.0543	 0.0367	0.0752
Locus25	 0.0678	 0.0419	0.0941
Locus26	 0.0469	 0.0238	0.0756
Locus27	 0.0281	 0.0148	0.0443
Locus28	 0.0490	 0.0122	0.1035
Locus29	 0.0254	 0.0156	0.0370
Locus30	 0.0350	 0.0186	0.0538
Locus31	 0.0321	 0.0236	0.0421
Locus32	 0.0239	 0.0173	0.0323
Locus33	 0.0255	 0.0174	0.0348
Locus34	 0.0836	 0.0546	0.1155
Locus35	 0.0327	 0.0125	0.0554
Locus36	 0.0371	 0.0198	0.0573
Locus37	 0.0413	 0.0162	0.0731

Gst

locus	actual	lower	upper
Locus1	 0.0795	 0.0162	0.1554
Locus2	-0.0087	-0.0341	0.0293
Locus3	 0.4694	 0.4073	0.5317
Locus4	 0.1137	 0.0482	0.1919
Locus5	 0.2552	 0.1735	0.3429
Locus6	 0.1674	 0.0988	0.2440
Locus7	 0.0670	 0.0180	0.1262
Locus8	 0.0883	 0.0248	0.1736
Locus9	 0.3349	 0.2664	0.4091
Locus10	 0.4178	 0.3427	0.4872
Locus11	 0.0500	 0.0019	0.1054
Locus12	 0.4780	 0.4034	0.5504
Locus13	 0.5257	 0.4686	0.5807
Locus14	 0.2356	 0.1580	0.3249
Locus15	 0.1184	 0.0593	0.1843
Locus16	 0.5495	 0.4837	0.6158
Locus17	 0.0832	 0.0338	0.1421
Locus18	 0.3829	 0.2989	0.4690
Locus19	 0.4172	 0.3343	0.4967
Locus20	 0.3747	 0.3038	0.4460
Locus21	 0.1319	 0.0670	0.2115
Locus22	 0.2312	 0.1567	0.3046
