loci	gst	Gst	GGst	D	Fis	Fst	Fit
Locus1	 0.0233	 0.0795	 0.0837	 0.0575	 0.0252	 0.0260	 0.0506
Locus2	-0.0039	-0.0087	-0.0095	-0.0048	-0.0604	-0.0042	-0.0649
Locus3	 0.0630	 0.4694	 0.4760	 0.4337	 0.0155	 0.0753	 0.0896
Locus4	 0.0322	 0.1137	 0.1194	 0.0842	 0.0091	 0.0361	 0.0449
Locus5	 0.0191	 0.2552	 0.2581	 0.2407	 0.0431	 0.0224	 0.0646
Locus6	 0.0274	 0.1674	 0.1720	 0.1440	 0.1935	 0.0303	 0.2179
Locus7	 0.0221	 0.0670	 0.0711	 0.0459	 0.0059	 0.0261	 0.0318
Locus8	 0.0632	 0.0883	 0.0997	 0.0268	 0.1900	 0.0696	 0.2463
Locus9	 0.0160	 0.3349	 0.3371	 0.3242	 0.0297	 0.0191	 0.0483
Locus10	 0.0483	 0.4178	 0.4234	 0.3883	 0.0340	 0.0570	 0.0890
Locus11	 0.0096	 0.0500	 0.0518	 0.0408	 0.0480	 0.0104	 0.0579
Locus12	 0.0349	 0.4780	 0.4817	 0.4592	 0.0229	 0.0410	 0.0630
Locus13	 0.1247	 0.5257	 0.5372	 0.4581	-0.0212	 0.1481	 0.1301
Locus14	 0.0258	 0.2356	 0.2396	 0.2153	 0.0388	 0.0298	 0.0674
Locus15	 0.0483	 0.1184	 0.1269	 0.0737	 0.0438	 0.0543	 0.0957
Locus16	 0.0841	 0.5495	 0.5570	 0.5082	-0.0040	 0.0990	 0.0954
Locus17	 0.0269	 0.0832	 0.0881	 0.0579	-0.0057	 0.0315	 0.0260
Locus18	 0.0223	 0.3829	 0.3857	 0.3689	 0.0422	 0.0250	 0.0661
Locus19	 0.0301	 0.4172	 0.4207	 0.3991	 0.0405	 0.0349	 0.0740
Locus20	 0.0283	 0.3747	 0.3783	 0.3566	 0.0339	 0.0332	 0.0659
Locus21	 0.0357	 0.1319	 0.1381	 0.0998	 0.1136	 0.0400	 0.1491
Locus22	 0.0244	 0.2312	 0.2350	 0.2120	 0.0493	 0.0279	 0.0758
Locus23	 0.0956	 0.4055	 0.4167	 0.3427	 0.0105	 0.1130	 0.1223
Locus24	 0.0543	 0.2673	 0.2752	 0.2253	 0.0913	 0.0637	 0.1493
Locus25	 0.0678	 0.2260	 0.2363	 0.1697	-0.0616	 0.0817	 0.0252
Locus26	 0.0469	 0.1116	 0.1199	 0.0679	 0.0212	 0.0542	 0.0742
Locus27	 0.0281	 0.1841	 0.1887	 0.1606	 0.1792	 0.0309	 0.2046
Locus28	 0.0490	 0.1024	 0.1111	 0.0562	 0.0927	 0.0550	 0.1426
Locus29	 0.0254	 0.2661	 0.2698	 0.2470	 0.0544	 0.0286	 0.0815
Locus30	 0.0350	 0.1828	 0.1885	 0.1532	 0.3536	 0.0368	 0.3774
Locus31	 0.0321	 0.4252	 0.4288	 0.4061	 0.0326	 0.0371	 0.0685
Locus32	 0.0239	 0.7569	 0.7580	 0.7509	 0.0670	 0.0271	 0.0923
Locus33	 0.0255	 0.4219	 0.4249	 0.4068	 0.0393	 0.0293	 0.0675
Locus34	 0.0836	 0.3701	 0.3805	 0.3127	 0.1838	 0.0950	 0.2614
Locus35	 0.0327	 0.0786	 0.0846	 0.0475	 0.0331	 0.0368	 0.0687
Locus36	 0.0371	 0.2082	 0.2141	 0.1777	 0.0194	 0.0435	 0.0621
Locus37	 0.0413	 0.0736	 0.0812	 0.0337	 0.0479	 0.0511	 0.0965
Global	 0.0397	 0.1805	 0.1869	 0.1461	 0.0549	 0.0461	 0.0985
