Locus Pairwise estimates

gst = Nei & Chesser, 1983
Gst = Hedrick, 2005
GGst = Meirmans & Hedrick, (2011)
D = Jost, 2008
Fst = Weir & Cockerham, 1984

gst

Loci	sid98,  vs  sid75,	sid98,  vs  sid50,	sid98,  vs  sid1,	sid75,  vs  sid50,	sid75,  vs  sid1,	sid50,  vs  sid1,
MAL01-145461	0.0448	0.097	0.0164	0.0115	0.0045	0.0389
MAL01-167547	0.0277	0.0057	0.0088	0.0672	0.0734	-0.0027
MAL01-389906	-0.0036	0.0488	-6e-04	0.0364	-0.0034	0.0319
MAL02-131505	-0.0043	0.1158	0.0706	0.1164	0.0709	0.0041
MAL02-194835	0.016	0.2049	0.1522	0.1009	0.063	0.0022
MAL02-255652	0.0692	0.139	0.2106	0.0087	0.0417	0.0076
MAL02-290673	0.2603	0.4055	0.2259	0.0198	-0.002	0.0356
MAL02-294544	-0.0029	0.0927	-0.002	0.1122	2e-04	0.0811
MAL02-297021	0.2471	0.3887	0.2185	0.0188	-0.0024	0.0321
MAL02-322398	0.2117	0.3072	0.1416	0.008	0.0052	0.0387
MAL02-417203	0.018	0.0298	0.0224	0.0951	-0.0036	0.1017
MAL02-510210	0.0649	0.0653	0.2818	-0.0046	0.0954	0.0966
MAL02-514461	0.0089	-0.0033	0.0962	0.0116	0.0378	0.1035
MAL02-569613	0.006	0.0371	0.0399	0.0059	0.0079	-0.0028
MAL02-608790	-0.0043	0.0198	0.0616	0.0161	0.0647	0.1551
MAL02-660994	-0.0034	0.2447	0.0079	0.2178	0.0139	0.3334
MAL02-680916	0.0589	0.1174	0.0893	0.0102	1e-04	0.0011
MAL02-723983	0.0443	0.2601	0.0729	0.1081	-5e-04	0.0812
MAL02-792270	0.0055	0.0445	0.0527	0.0911	0.0155	0.1835
MAL03-139623	-0.001	0.0161	0.0154	0.0284	0.0027	0.0545
MAL03-192822	0.0447	0.0828	0.1155	0.0011	0.0125	-1e-04
MAL03-355045	0.005	0.0471	0.0539	0.0128	0.0174	-0.0026
MAL03-666808	-0.0026	0.0145	0.0646	0.0043	0.0468	0.0174
MAL03-714600	0.0019	0.3083	-0.0025	0.354	0.0034	0.3051
MAL03-849722	0.0123	0.0366	0.0374	0.0062	0.0071	NaN
MAL04-134941	0.1642	0.11	0.1709	0.4735	-0.0035	0.4812
MAL04-163143	0.0234	0.0127	0.0021	-0.0023	0.0115	0.0026
MAL04-193196	0.0636	0.0786	0.1079	-0.0033	0.0088	0.0037
MAL04-273727	-0.0042	0.0791	0.006	0.084	0.007	0.0363
MAL04-282592	0.0043	-0.0019	0.0023	0.0115	0.0191	-0.0017
MAL04-307321	0.0065	0.0039	0.0214	-0.0039	0.0013	0.0058
MAL04-342497	0.0834	0.1436	0.0511	0.0042	8e-04	0.0229
MAL04-361423	0.0422	0.0966	0.0188	0.0064	0.0014	0.0276
MAL04-422595	-0.0037	0.0539	-0.0026	0.0422	-0.0031	0.0546
MAL04-441887	0.0362	0.0081	0.038	0.0104	NaN	0.0121
MAL04-469608	0.0065	0.0685	0.0212	0.04	0.0012	0.0206
MAL04-515294	0.0472	0.0778	0.0269	0.2397	-4e-04	0.1953
MAL04-544408	-0.004	0.0024	4e-04	-8e-04	-0.0021	-0.0023
MAL04-637111	0.289	-0.0028	0.0771	0.2651	0.0785	0.0633
MAL04-666150	0.1015	-0.0035	0.1001	0.1007	-0.0036	0.0993
MAL04-680633	0.0494	0.3592	0.0131	0.1538	0.0083	0.2437
MAL04-702725	0.0047	0.2962	0.0169	0.3642	0.0472	0.1864
MAL04-755220	0.5317	0.8497	0.697	0.0928	0.0201	0.0312
MAL04-772972	0.2124	0.0107	0.1843	0.1232	-0.0023	0.1014
MAL04-799238	0.1678	0.0183	0.0549	0.2895	0.0302	0.1395
MAL04-809686	0.3047	0.3163	0.2912	-0.0039	-0.0027	1e-04
MAL04-846290	0.0312	0.0586	0.0187	0.0062	-0.001	0.0169
MAL04-872322	-0.004	0.0482	0.1048	0.0548	0.0933	0.2755
MAL04-894155	0.0084	NaN	0.0334	0.0082	0.0058	0.0331
MAL04-895873	0.0553	0.017	0.0373	0.0067	-0.0014	7e-04
MAL04-915180	0.0287	0.0347	0.0131	-0.0042	0.0024	0.0064
MAL04-934434	0.0999	0.0365	0.0383	0.2439	0.012	0.1475
