loci	gst	Gst	GGst	D	Fis	Fst	Fit
SNP.1	 0.0053	 0.0123	 0.0140	 0.0070	1	 0.0002	1
SNP.2	-0.0007	-0.0017	-0.0019	-0.0010	1	-0.0070	1
SNP.3	 0.0054	 0.0127	 0.0144	 0.0072	1	 0.0057	1
SNP.4	 0.0083	 0.0191	 0.0218	 0.0110	1	 0.0018	1
SNP.5	 0.0025	 0.0057	 0.0065	 0.0032	1	-0.0017	1
SNP.6	 0.0071	 0.0164	 0.0188	 0.0094	1	 0.0008	1
SNP.7	 0.0091	 0.0209	 0.0239	 0.0120	1	 0.0114	1
SNP.8	-0.0016	-0.0037	-0.0042	-0.0021	1	-0.0074	1
SNP.9	-0.0004	-0.0009	-0.0011	-0.0005	1	-0.0051	1
SNP.10	 0.0558	 0.1224	 0.1384	 0.0706	1	 0.0431	1
SNP.11	 0.0042	 0.0097	 0.0110	 0.0055	1	-0.0007	1
SNP.12	 0.0077	 0.0178	 0.0203	 0.0102	1	 0.0016	1
SNP.13	 0.0109	 0.0250	 0.0285	 0.0143	1	 0.0087	1
SNP.14	 0.0105	 0.0239	 0.0273	 0.0136	1	 0.0056	1
SNP.15	 0.0066	 0.0152	 0.0174	 0.0087	1	 0.0028	1
SNP.16	-0.0048	-0.0112	-0.0129	-0.0064	1	-0.0125	1
SNP.17	 0.0260	 0.0590	 0.0671	 0.0339	1	 0.0186	1
SNP.18	 0.0004	 0.0010	 0.0011	 0.0006	1	-0.0064	1
SNP.19	-0.0030	-0.0071	-0.0081	-0.0041	1	-0.0101	1
SNP.20	 0.0044	 0.0103	 0.0117	 0.0059	1	-0.0011	1
SNP.21	 0.0273	 0.0615	 0.0699	 0.0352	1	 0.0182	1
SNP.22	 0.0092	 0.0214	 0.0244	 0.0122	1	 0.0083	1
SNP.23	 0.0074	 0.0170	 0.0194	 0.0097	1	 0.0012	1
SNP.24	 0.0060	 0.0139	 0.0159	 0.0080	1	 0.0015	1
SNP.25	 0.0248	 0.0561	 0.0638	 0.0321	1	 0.0278	1
SNP.26	-0.0044	-0.0104	-0.0119	-0.0059	1	-0.0119	1
SNP.27	 0.0132	 0.0305	 0.0347	 0.0175	1	 0.0038	1
SNP.28	 0.0116	 0.0267	 0.0304	 0.0152	1	 0.0042	1
SNP.29	 0.0021	 0.0048	 0.0055	 0.0028	1	-0.0002	1
SNP.30	 0.0312	 0.0703	 0.0799	 0.0403	1	 0.0218	1
SNP.31	 0.0213	 0.0485	 0.0552	 0.0278	1	 0.0208	1
SNP.32	-0.0048	-0.0112	-0.0128	-0.0064	1	-0.0123	1
SNP.33	 0.0333	 0.0750	 0.0852	 0.0431	1	 0.0401	1
SNP.34	 0.0017	 0.0040	 0.0045	 0.0023	1	-0.0013	1
SNP.35	-0.0033	-0.0077	-0.0088	-0.0044	1	-0.0110	1
SNP.36	 0.0093	 0.0215	 0.0246	 0.0123	1	 0.0001	1
SNP.37	 0.0025	 0.0058	 0.0066	 0.0033	1	-0.0043	1
SNP.38	-0.0005	-0.0011	-0.0012	-0.0006	1	-0.0068	1
SNP.39	-0.0014	-0.0034	-0.0039	-0.0019	1	-0.0064	1
SNP.40	 0.0031	 0.0070	 0.0080	 0.0040	1	-0.0019	1
SNP.41	-0.0010	-0.0022	-0.0026	-0.0013	1	-0.0079	1
SNP.42	 0.0050	 0.0115	 0.0132	 0.0066	1	 0.0007	1
SNP.43	 0.0128	 0.0294	 0.0336	 0.0169	1	 0.0078	1
SNP.44	 0.0096	 0.0221	 0.0252	 0.0126	1	 0.0026	1
SNP.45	 0.0029	 0.0068	 0.0077	 0.0039	1	-0.0024	1
SNP.46	 0.0120	 0.0275	 0.0314	 0.0157	1	 0.0149	1
SNP.47	 0.0135	 0.0311	 0.0354	 0.0178	1	 0.0053	1
SNP.48	 0.0167	 0.0381	 0.0435	 0.0218	1	 0.0145	1
SNP.49	 0.0042	 0.0098	 0.0112	 0.0056	1	 0.0027	1
SNP.50	 0.0076	 0.0174	 0.0199	 0.0100	1	-0.0006	1
SNP.51	 0.0325	 0.0728	 0.0827	 0.0416	1	 0.0270	1
SNP.52	 0.0130	 0.0299	 0.0341	 0.0171	1	 0.0100	1
SNP.53	 0.0164	 0.0377	 0.0429	 0.0216	1	 0.0131	1
SNP.54	 0.0145	 0.0334	 0.0380	 0.0191	1	 0.0037	1
SNP.55	 0.0063	 0.0146	 0.0167	 0.0084	1	 0.0007	1
SNP.56	 0.0059	 0.0136	 0.0155	 0.0077	1	 0.0063	1
SNP.57	 0.0056	 0.0130	 0.0149	 0.0074	1	 0.0014	1
SNP.58	-0.0036	-0.0083	-0.0095	-0.0048	1	-0.0115	1
SNP.59	 0.0204	 0.0455	 0.0520	 0.0256	1	 0.0263	1
SNP.60	-0.0036	-0.0085	-0.0097	-0.0048	1	-0.0117	1
SNP.61	 0.0001	 0.0003	 0.0004	 0.0002	1	-0.0047	1
SNP.62	-0.0018	-0.0041	-0.0047	-0.0024	1	-0.0081	1
SNP.63	-0.0019	-0.0046	-0.0052	-0.0026	1	-0.0076	1
SNP.64	 0.0096	 0.0222	 0.0254	 0.0127	1	 0.0046	1
SNP.65	 0.0066	 0.0152	 0.0174	 0.0087	1	 0.0017	1
SNP.66	-0.0001	-0.0002	-0.0002	-0.0001	1	-0.0053	1
SNP.67	 0.0015	 0.0036	 0.0041	 0.0021	1	-0.0058	1
SNP.68	-0.0016	-0.0037	-0.0042	-0.0021	1	-0.0074	1
SNP.69	 0.0028	 0.0066	 0.0075	 0.0038	1	-0.0049	1
SNP.70	 0.0083	 0.0191	 0.0218	 0.0109	1	 0.0076	1
SNP.71	 0.0133	 0.0305	 0.0348	 0.0174	1	 0.0078	1
SNP.72	-0.0018	-0.0041	-0.0047	-0.0024	1	-0.0094	1
SNP.73	 0.0053	 0.0122	 0.0140	 0.0070	1	-0.0016	1
